name,health_amenity_type,amenity,healthcare,operator,operational_status,beds,longitude,latitude,adm2_pcode,district,facility_type
,,pharmacy,pharmacy,,,,44.068775723399,36.1182020182516,IQG11Q02,Erbil,pharmacy
نۆرینگەی پزیشکی موسلیح,,clinic,clinic,,,,44.0616029935773,36.2026449988589,IQG11Q02,Erbil,clinic
رائدی پۆلیس/سەباح احمد,,dentist,dentist,,,,44.8866331362131,36.6356280490838,IQG11Q05,Rawanduz,dentist
دەرمانخانەی شەهرزاد,,clinic,clinic,,,,44.0361887278791,36.1985100383854,IQG11Q02,Erbil,clinic
نەخۆشخانەی لەدایکبوونی هەولێر,,hospital,hospital,,,,44.0325412588941,36.2160657669442,IQG11Q02,Erbil,hospital
دايموند سنتر(د.ميران الخطيب),,dentist,dentist,,,,44.0346158637486,36.192154292666,IQG11Q02,Erbil,dentist
صيدلية ئايبيس,,pharmacy,pharmacy,,,,44.0383733871222,36.1729213452821,IQG11Q02,Erbil,pharmacy
خستە خانە,,hospital,,,,,44.6014969673233,36.405664081453,IQG11Q06,Shaqlawa,hospital
نۆرینگەی پزیشکی دکتۆر دەشتی,,doctors,doctor,,,,44.0412584381946,36.1895786176398,IQG11Q02,Erbil,doctors
,,pharmacy,pharmacy,,,,43.9939074746058,36.2313375945264,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,44.0515873736563,36.1244519843529,IQG11Q02,Erbil,pharmacy
مزاحم الصميدعي,,doctors,doctor,,,,43.9819867319124,36.1579126256406,IQG11Q02,Erbil,doctors
دەرمانخانەی نۆڤیلا,,,laboratory,,,,44.0040458894084,36.1751646778475,IQG11Q02,Erbil,laboratory
,,pharmacy,,,,,44.0281720242269,36.2026536322192,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,43.9953602260638,36.226453040452,IQG11Q02,Erbil,pharmacy
هيلين ماركيت,,pharmacy,pharmacy,,,,43.9922867498082,36.2298280975839,IQG11Q02,Erbil,pharmacy
نەخۆشخانەی گشتیی ڕەواندز,,hospital,,,,,44.5308999687492,36.6162799343503,IQG11Q05,Rawanduz,hospital
عبد الجبار السوداني - جلدية,,clinic,clinic,,,,44.0037978688935,36.1952071494399,IQG11Q02,Erbil,clinic
صيدلية الزيتون,,pharmacy,,,,,44.061966516718,36.1466488565179,IQG11Q02,Erbil,pharmacy
,,hospital,hospital,,,,44.0124851247996,36.2131929534505,IQG11Q02,Erbil,hospital
نۆرینگەی ڕێباز,,pharmacy,pharmacy,,,,44.0118740840582,36.1256736467404,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,44.0706498331296,36.2055652539246,IQG11Q02,Erbil,pharmacy
صيدلية بەربێل,,pharmacy,pharmacy,,,,44.0375377951949,36.1308064727868,IQG11Q02,Erbil,pharmacy
دكتور رياض حازم الزكر,,doctors,doctor,,,,43.9990829645393,36.2273250936582,IQG11Q02,Erbil,doctors
,,pharmacy,,,,,43.9872862740129,36.1762472844614,IQG11Q02,Erbil,pharmacy
د. أمير صباح الساعاتي,,clinic,,,,,44.6318978786765,36.0810330553618,IQG11Q03,Koysinjaq,clinic
پزیشکی یاریدەدەر: دلشاد عەبدولقادر شەریف,,clinic,clinic,,,,44.0073183520454,36.1701608492909,IQG11Q02,Erbil,clinic
دەرمانخانەی گوڵی ڕۆشنبیری,,pharmacy,pharmacy,,,,44.0430959190083,36.1381834695888,IQG11Q02,Erbil,pharmacy
نورينگه ی پزیشکی ددان-سیتاقان(عیادة طب الاسنان-سيطاقان),,,dentist,,,,44.0269886671368,36.1910917188007,IQG11Q02,Erbil,dentist
ميديسينا,,,physiotherapist,,,,44.0353265653187,36.2024102217511,IQG11Q02,Erbil,physiotherapist
د. دیار بەکر سابیر,,dentist,dentist,,,,44.0105648307825,36.2100188943568,IQG11Q02,Erbil,dentist
Dlovan,,doctors,doctor,,,,44.0326722680407,36.1927124435983,IQG11Q02,Erbil,doctors
Sonya Dental Clinic,,clinic,,,,,44.3522365174825,36.5494351785509,IQG11Q06,Shaqlawa,clinic
دەرمانخانە,,pharmacy,,,,,44.0816104288145,36.1828113204746,IQG11Q02,Erbil,pharmacy
Best Pharmacy,,pharmacy,pharmacy,,,,44.650532777269,36.0940711895673,IQG11Q03,Koysinjaq,pharmacy
